BR14,R1,BR2,R2,BR4,AR2,BR11,AR13,BR6,AR10,AR7,BR12,AR3,AR15,BR15,AR5,BR1,AR14,BR8,AR1,AR4,AR6,BR10,R3,BR9,AR9,BR3,AR8,H3,BR13,H1,H2,AR11,BR7,AR12,BR5
3.364,2.139,4.023,4.17,5.234,4.121,3.457,2.861,2.705,4.106,2.827,3.091,5.19,3.105,3.403,4.346,4.238,2.969,2.993,4.995,5.098,4.775,4.092,1.074,3.374,3.53,5.337,4.326,3.232,2.817,4.844,3.73,2.71,4.624,3.242,4.243
3.252,2.324,3.911,4.341,5.171,4.063,3.408,2.788,2.607,4.077,2.954,3.008,5.181,3.296,3.472,4.375,4.199,2.856,3.008,5.181,5.078,4.634,4.116,0.742,3.267,3.486,5.381,4.199,3.252,2.886,4.849,3.75,2.852,4.58,3.101,4.302
3.105,2.637,3.809,4.521,5.073,4.004,3.311,2.783,2.534,4.023,3.149,2.93,5.195,3.486,3.501,4.434,4.185,2.759,3.076,5.361,5.015,4.453,4.17,0.571,3.208,3.462,5.396,4.116,3.228,2.9,4.849,3.77,3.047,4.517,2.969,4.36
3.008,2.974,3.726,4.604,5.0,3.989,3.208,2.788,2.485,3.945,3.359,2.852,5.195,3.589,3.467,4.463,4.18,2.769,3.135,5.522,4.951,4.209,4.229,0.542,3.105,3.423,5.391,3.96,3.218,2.944,4.839,3.765,3.296,4.429,2.832,4.429
2.876,3.364,3.672,4.678,4.922,4.009,3.12,2.788,2.505,3.877,3.56,2.783,5.156,3.594,3.472,4.512,4.185,2.739,3.218,5.674,4.888,3.955,4.258,0.713,3.052,3.369,5.4,3.828,3.237,3.018,4.844,3.75,3.501,4.287,2.769,4.478
2.749,3.804,3.672,4.683,4.834,4.077,3.032,2.822,2.559,3.813,3.789,2.773,5.093,3.579,3.438,4.57,4.219,2.754,3.325,5.771,4.78,3.706,4.243,1.045,3.047,3.35,5.415,3.682,3.252,3.052,4.829,3.735,3.628,4.165,2.681,4.521
2.671,4.307,3.691,4.595,4.746,4.165,2.969,2.886,2.69,3.706,4.023,2.734,5.01,3.53,3.34,4.619,4.268,2.842,3.472,5.825,4.683,3.457,4.224,1.504,3.057,3.369,5.4,3.501,3.237,3.091,4.824,3.726,3.711,4.019,2.632,4.551
2.607,4.863,3.755,4.478,4.653,4.287,2.871,2.998,2.871,3.594,4.229,2.734,4.917,3.447,3.247,4.697,4.336,2.91,3.613,5.845,4.609,3.213,4.175,2.109,3.057,3.452,5.361,3.33,3.218,3.159,4.814,3.726,3.73,3.848,2.666,4.609
2.578,5.371,3.809,4.307,4.521,4.424,2.788,3.149,3.081,3.506,4.443,2.769,4.805,3.262,3.14,4.775,4.404,3.032,3.77,5.825,4.556,2.993,4.126,2.842,3.071,3.54,5.273,3.203,3.237,3.237,4.819,3.75,3.677,3.628,2.671,4.678
2.593,5.83,3.896,4.092,4.429,4.546,2.734,3.232,3.315,3.423,4.604,2.798,4.663,3.086,3.032,4.873,4.429,3.188,3.916,5.786,4.502,2.832,4.063,3.516,3.13,3.633,5.234,3.086,3.252,3.311,4.805,3.76,3.599,3.467,2.759,4.761
2.622,6.25,4.004,3.848,4.341,4.688,2.695,3.335,3.569,3.345,4.663,2.866,4.536,2.93,2.949,4.966,4.507,3.359,4.048,5.684,4.468,2.72,3.984,4.219,3.208,3.706,5.181,3.018,3.232,3.384,4.819,3.76,3.398,3.262,2.93,4.863
